csvdate,nav
2022-09-26,118.6776
2022-09-27,118.2632
2022-09-28,117.2046
2022-09-29,117.139
2022-09-30,117.0739
2022-10-10,116.5468
2022-10-11,115.7268
2022-10-12,115.5198
2022-10-13,114.9284
2022-10-14,115.3966
2022-10-17,115.2849
2022-10-18,115.6817
2022-10-19,114.8602
2022-10-20,114.5208
2022-10-21,113.5617
2022-10-24,112.5813
2022-10-25,112.396
2022-10-26,113.5403
2022-10-27,113.9192
2022-10-28,113.025
2022-10-31,112.4668
2022-11-01,113.6932
2022-11-02,114.2869
2022-11-03,112.7664
2022-11-04,113.8294
2022-11-07,114.6097
2022-11-08,114.8777
2022-11-09,114.9216
2022-11-10,115.1445
2022-11-11,117.7449
2022-11-14,118.2225
2022-11-15,119.5884
2022-11-16,119.5602
2022-11-17,119.0254
2022-11-18,118.8986
2022-11-21,118.3418
2022-11-22,118.5505
2022-11-23,118.8486
2022-11-24,119.4047
2022-11-25,119.6305
2022-11-28,118.9597
2022-11-29,120.1177
2022-11-30,121.0525
2022-12-01,122.2505
2022-12-02,121.9161
2022-12-05,122.6195
2022-12-06,122.6146
2022-12-07,122.0089
2022-12-08,122.3905
2022-12-09,123.0291
2022-12-12,122.377
2022-12-13,122.822
2022-12-14,123.2762
2022-12-15,122.6338
2022-12-16,122.2165
2022-12-19,122.0955
2022-12-20,121.1773
2022-12-22,121.8859
2022-12-23,121.6379
2022-12-28,121.9269
2022-12-29,121.8288
2022-12-30,121.7709
2023-01-03,122.0481
2023-01-04,123.3711
2023-01-05,123.7009
2023-01-06,124.325
2023-01-09,125.4405
2023-01-10,125.3878
2023-01-11,125.7177
2023-01-12,126.404
2023-01-13,126.8543
2023-01-16,127.3025
2023-01-17,127.1747
2023-01-18,127.6867
2023-01-19,127.8211
2023-01-20,128.3203
2023-01-30,129.3359
2023-01-31,128.5541
2023-02-01,129.1567
2023-02-02,129.5109
2023-02-03,128.7396
2023-02-06,127.2201
2023-02-07,127.0397
2023-02-08,127.3522
2023-02-09,127.619
2023-02-10,126.879
2023-02-13,126.5686
2023-02-14,126.4269
