csvdate,nav
2022-06-28,8.166
2022-06-29,8.0168
2022-06-30,7.9029
2022-07-04,7.8339
2022-07-05,7.8906
2022-07-06,7.814
2022-07-07,7.9294
2022-07-08,7.9338
2022-07-11,7.8205
2022-07-12,7.7545
2022-07-13,7.8141
2022-07-14,7.8785
2022-07-15,7.8491
2022-07-18,7.9526
2022-07-19,7.9275
2022-07-20,8.0324
2022-07-21,8.0902
2022-07-22,8.023
2022-07-25,8.0046
2022-07-26,8.0053
2022-07-27,8.0216
2022-07-28,8.054
2022-07-29,8.019
2022-08-01,8.0319
2022-08-02,7.9273
2022-08-03,7.9374
2022-08-04,8.0061
2022-08-05,8.1203
2022-08-08,8.0665
2022-08-09,8.027
2022-08-10,7.8795
2022-08-11,8.081
2022-08-12,8.0767
2022-08-15,8.1406
2022-08-16,8.1296
2022-08-17,8.1335
2022-08-18,8.1016
2022-08-19,8.0739
2022-08-22,8.0065
2022-08-23,7.9068
2022-08-24,7.9006
2022-08-25,8.045
2022-08-26,8.1026
2022-08-29,7.9928
2022-08-30,8.0223
2022-08-31,8.0331
2022-09-01,7.9013
2022-09-02,7.8402
2022-09-05,7.824
2022-09-06,7.8183
2022-09-07,7.7295
2022-09-08,7.7423
2022-09-09,7.8407
2022-09-13,7.9066
2022-09-14,7.7028
2022-09-15,7.7271
2022-09-16,7.6107
2022-09-19,7.5707
2022-09-20,7.6583
2022-09-21,7.5848
2022-09-22,7.4981
2022-09-23,7.4515
2022-09-26,7.4263
2022-09-27,7.4816
2022-09-28,7.3967
2022-09-29,7.2854
2022-09-30,7.2639
2022-10-10,7.3368
2022-10-11,7.1327
2022-10-12,7.1407
2022-10-13,7.0693
2022-10-14,7.1987
2022-10-17,7.1328
2022-10-18,7.2589
2022-10-19,7.1522
2022-10-20,7.0193
2022-10-21,6.9786
2022-10-24,6.8363
2022-10-25,6.8129
2022-10-26,6.8318
2022-10-27,6.882
2022-10-28,6.7509
2022-10-31,6.8214
2022-11-01,7.0127
2022-11-02,7.0732
2022-11-03,6.9439
2022-11-04,6.9768
2022-11-07,7.2051
2022-11-08,7.2188
2022-11-09,7.242
2022-11-10,7.1124
2022-11-11,7.5437
2022-11-14,7.5702
2022-11-15,7.8346
2022-11-16,7.8618
2022-11-17,7.8255
2022-11-18,7.7849
2022-11-21,7.7303
2022-11-22,7.6236
2022-11-23,7.6773
2022-11-24,7.7774
2022-11-25,7.7751
2022-11-28,7.6954
2022-11-29,7.8282
2022-11-30,7.8974
2022-12-01,8.0241
2022-12-02,7.9922
2022-12-05,8.0276
2022-12-06,7.9676
2022-12-07,7.8309
2022-12-08,7.9523
2022-12-09,8.0983
2022-12-12,7.9781
2022-12-13,8.0024
2022-12-14,8.0429
2022-12-15,7.9174
2022-12-16,7.8573
2022-12-19,7.83
2022-12-20,7.7265
2022-12-21,7.7817
2022-12-22,7.9197
2022-12-23,7.8761
2022-12-28,7.9149
2022-12-29,7.8725
2022-12-30,7.801
2023-01-03,7.8425
2023-01-04,7.9511
2023-01-05,8.0017
2023-01-06,7.9592
2023-01-09,8.0788
2023-01-10,8.0935
2023-01-11,8.1008
2023-01-12,8.0802
2023-01-13,8.1175
2023-01-16,8.1867
2023-01-17,8.2095
2023-01-18,8.2036
2023-01-19,8.2113
2023-01-20,8.2807
2023-01-30,8.3531
2023-01-31,8.2507
2023-02-01,8.3163
2023-02-02,8.3604
2023-02-03,8.386
2023-02-06,8.1915
2023-02-07,8.1635
2023-02-08,8.2127
2023-02-09,8.2569
2023-02-10,8.2161
2023-02-13,8.2048
2023-02-14,8.2055
2023-02-15,8.0939
2023-02-16,8.1319
2023-02-17,8.0177
2023-02-20,8.0562
2023-02-21,7.9777
2023-02-22,7.8871
2023-02-23,7.9474
2023-02-24,7.9166
2023-02-27,7.8633
2023-02-28,7.836
2023-03-01,7.8979
2023-03-02,7.8879
2023-03-03,7.9285
2023-03-06,8.0022
2023-03-07,8.0137
2023-03-08,7.9028
2023-03-09,7.8668
2023-03-10,7.69
2023-03-13,7.683
2023-03-14,7.5988
2023-03-15,7.6625
2023-03-16,7.5988
2023-03-17,7.6914
2023-03-20,7.5813
2023-03-21,7.6423
2023-03-22,7.7331
2023-03-23,7.7737
2023-03-24,7.7942
2023-03-27,7.7497
2023-03-28,7.7715
2023-03-29,7.8521
2023-03-30,7.8756
2023-03-31,7.9118
2023-04-03,7.9278
2023-04-04,7.909
2023-04-06,7.8976
2023-04-11,7.9657
2023-04-12,7.9084
2023-04-13,7.9269
2023-04-14,7.9216
2023-04-17,7.9518
2023-04-18,7.9133
2023-04-19,7.8659
2023-04-20,7.848
2023-04-21,7.7863
2023-04-24,7.7836
2023-04-25,7.7389
2023-04-26,7.7665
2023-04-27,7.8025
2023-04-28,7.8129
2023-05-04,7.8271
2023-05-05,7.8497
2023-05-08,7.8867
2023-05-09,7.8233
2023-05-10,7.8296
2023-05-11,7.8188
2023-05-12,7.7837
2023-05-15,7.8512
2023-05-16,7.882
2023-05-17,7.8504
2023-05-18,7.9352
2023-05-19,7.9359
2023-05-22,8.0105
2023-05-23,7.9979
2023-05-24,7.9378
2023-05-25,7.9128
2023-05-29,7.9781
2023-05-30,7.9973
2023-05-31,7.9161
2023-06-01,7.9225
2023-06-02,8.0601
2023-06-05,8.1045
2023-06-06,8.1055
2023-06-07,8.142
2023-06-08,8.1171
2023-06-09,8.2002
2023-06-12,8.2453
2023-06-13,8.3536
2023-06-14,8.3113
2023-06-15,8.354
2023-06-16,8.4199
2023-06-19,8.3988
2023-06-20,8.3716
2023-06-21,8.2876
2023-06-26,8.2145
2023-06-27,8.246
2023-06-28,8.2941
2023-06-29,8.2639
2023-06-30,8.2882
2023-07-03,8.3609
2023-07-04,8.3446
2023-07-05,8.3238
2023-07-06,8.1981
2023-07-07,8.0873
2023-07-10,8.1027
2023-07-11,8.1943
2023-07-12,8.2213
2023-07-13,8.3475
2023-07-14,8.3946
2023-07-18,8.3455
2023-07-19,8.3723
2023-07-20,8.3053
2023-07-21,8.2645
2023-07-24,8.208
2023-07-25,8.2893
2023-07-26,8.3017
2023-07-27,8.3762
2023-07-28,8.3674
2023-07-31,8.3765
2023-08-01,8.3951
2023-08-02,8.2487
2023-08-03,8.186
2023-08-04,8.1828
2023-08-07,8.2033
2023-08-08,8.1509
2023-08-09,8.1714
2023-08-10,8.1918
2023-08-11,8.1322
2023-08-14,8.0928
2023-08-15,8.0846
2023-08-16,8.0653
2023-08-17,8.0275
2023-08-18,7.946
2023-08-21,7.8648
2023-08-22,7.9426
2023-08-23,7.9498
2023-08-24,8.0571
2023-08-25,7.9716
2023-08-28,8.0284
2023-08-29,8.0796
2023-08-30,8.119
2023-08-31,8.0507
2023-09-04,8.1833
2023-09-05,8.1219
2023-09-06,8.0916
2023-09-07,8.0472
2023-09-11,8.0346
2023-09-12,8.0275
2023-09-13,7.973
2023-09-14,8.0154
2023-09-15,8.0685
2023-09-18,7.9651
2023-09-19,7.9778
2023-09-20,7.9278
2023-09-21,7.8228
2023-09-22,7.8792
2023-09-25,7.839
2023-09-26,7.7606
2023-09-27,7.7693
2023-09-28,7.7232
2023-10-09,7.7182
2023-10-10,7.7821
2023-10-11,7.8902
2023-10-12,7.9423
2023-10-13,7.8325
2023-10-16,7.764
2023-10-17,7.8439
2023-10-18,7.8091
2023-10-19,7.7103
2023-10-20,7.6738
2023-10-24,7.6112
2023-10-25,7.6075
2023-10-26,7.5228
2023-10-27,7.6066
2023-10-30,7.6427
2023-10-31,7.5924
2023-11-01,7.605
2023-11-02,7.7003
2023-11-03,7.792
2023-11-06,7.9072
2023-11-07,7.8347
2023-11-08,7.8112
2023-11-09,7.819
2023-11-10,7.7589
2023-11-13,7.7999
2023-11-14,7.7885
2023-11-15,7.9922
2023-11-16,7.9548
2023-11-17,7.8317
2023-11-20,7.8474
2023-11-21,7.8458
2023-11-22,7.8501
2023-11-23,7.8522
2023-11-24,7.8007
2023-11-27,7.7877
2023-11-28,7.7843
2023-11-29,7.7329
2023-11-30,7.7723
2023-12-01,7.7399
2023-12-04,7.7797
2023-12-05,7.679
2023-12-06,7.7112
2023-12-07,7.6677
2023-12-08,7.7483
2023-12-11,7.7462
2023-12-12,7.7663
2023-12-13,7.736
2023-12-14,7.8088
2023-12-15,7.9341
2023-12-18,7.9108
2023-12-19,7.8775
2023-12-20,7.945
2023-12-21,7.9522
2023-12-22,7.9091
2023-12-27,8.0296
2023-12-28,8.1013
2023-12-29,8.0933
2024-01-02,8.0562
2024-01-03,7.9837
2024-01-04,7.9707
2024-01-05,7.925
2024-01-08,7.8688
2024-01-09,7.8793
2024-01-10,7.8269
2024-01-11,7.855
2024-01-12,7.8903
2024-01-15,7.9047
2024-01-16,7.8006
2024-01-17,7.6389
2024-01-18,7.6496
2024-01-19,7.7466
2024-01-22,7.7162
2024-01-23,7.7254
2024-01-24,7.7753
2024-01-25,7.8667
2024-01-26,7.8279
2024-01-29,7.9059
2024-01-30,7.8625
2024-01-31,7.8143
2024-02-01,7.8402
2024-02-02,7.9229
2024-02-05,7.8781
2024-02-06,7.9916
2024-02-07,8.0187
2024-02-08,7.9715
2024-02-19,8.0557
2024-02-20,8.0625
2024-02-21,8.0596
2024-02-22,8.1141
2024-02-23,8.1291
2024-02-26,8.0793
2024-02-27,8.0741
2024-02-28,8.0432
2024-02-29,8.0144
2024-03-01,8.0648
2024-03-04,8.1482
2024-03-05,8.0863
2024-03-06,8.1391
2024-03-07,8.1543
2024-03-08,8.2326
2024-03-11,8.2134
2024-03-12,8.3124
2024-03-13,8.3316
2024-03-14,8.339
2024-03-15,8.2247
2024-03-18,8.2259
2024-03-19,8.174
2024-03-20,8.2049
2024-03-21,8.3582
2024-03-22,8.3298
2024-03-25,8.2827
2024-03-26,8.2991
2024-03-27,8.2698
2024-03-28,8.319
2024-04-02,8.3855
2024-04-03,8.3033
2024-04-08,8.3086
2024-04-09,8.3477
2024-04-10,8.3947
2024-04-11,8.3913
2024-04-12,8.2741
2024-04-15,8.1831
2024-04-16,8.0065
2024-04-17,8.0035
2024-04-18,8.0628
2024-04-19,7.9375
2024-04-22,8.0329
2024-04-23,8.1446
2024-04-24,8.3167
2024-04-25,8.2603
2024-04-26,8.3331
2024-04-29,8.385
2024-04-30,8.3699
2024-05-06,8.4653
2024-05-07,8.5127
2024-05-08,8.4732
2024-05-09,8.4538
2024-05-10,8.5439
2024-05-13,8.6182
2024-05-14,8.658
2024-05-16,8.8125
2024-05-17,8.847
2024-05-20,8.8579
2024-05-21,8.7558
2024-05-22,8.7643
2024-05-23,8.7675
2024-05-24,8.6941
2024-05-27,8.7533
2024-05-28,8.7613
2024-05-29,8.6318
2024-05-30,8.5069
2024-05-31,8.4781
2024-06-03,8.6538
2024-06-04,8.5129
2024-06-05,8.6484
2024-06-06,8.7472
2024-06-07,8.7618
2024-06-11,8.6858
2024-06-12,8.7055
2024-06-13,8.7889
2024-06-14,8.7851
2024-06-17,8.7769
2024-06-18,8.8474
2024-06-19,8.979
2024-06-20,9.0033
2024-06-21,8.9643
2024-06-24,8.9094
2024-06-25,8.9595
2024-06-26,9.0409
2024-06-27,9.0307
2024-06-28,9.0443
2024-07-02,8.981
2024-07-03,9.0767
2024-07-04,9.1853
2024-07-05,9.2112
2024-07-08,9.1828
2024-07-09,9.2327
2024-07-10,9.2523
2024-07-11,9.3328
2024-07-12,9.3199
2024-07-15,9.2999
2024-07-16,9.273
2024-07-17,9.2233
2024-07-18,9.1922
2024-07-19,9.0737
2024-07-22,9.0596
2024-07-23,9.0611
2024-07-24,8.9696
2024-07-25,8.8291
2024-07-26,8.8675
2024-07-29,8.9155
2024-07-30,8.839
2024-07-31,8.8813
2024-08-01,8.9653
2024-08-02,8.6601
2024-08-05,8.3295
2024-08-06,8.4418
2024-08-07,8.6284
2024-08-08,8.5649
2024-08-09,8.6641
2024-08-12,8.7023
2024-08-13,8.6817
2024-08-14,8.6705
2024-08-15,8.7275
2024-08-16,8.8552
2024-08-19,8.8758
2024-08-20,8.8866
2024-08-21,8.857
2024-08-22,8.8963
2024-08-23,8.8657
2024-08-26,8.844
2024-08-27,8.876
2024-08-28,8.8573
2024-08-29,8.8367
2024-08-30,8.8694
2024-09-02,8.8733
2024-09-03,8.8151
2024-09-04,8.6842
2024-09-05,8.6807
2024-09-09,8.6459
2024-09-10,8.6769
2024-09-11,8.6462
2024-09-12,8.8044
2024-09-13,8.7914
2024-09-19,8.919
2024-09-20,8.9641
2024-09-23,8.9781
2024-09-24,9.041
2024-09-25,9.095
2024-09-26,9.2127
2024-09-27,9.2966
2024-09-30,9.3054
2024-10-08,9.198
2024-10-09,9.1906
2024-10-10,9.2693
2024-10-14,9.292
2024-10-15,9.2852
2024-10-16,9.21
2024-10-17,9.165
2024-10-18,9.2636
2024-10-21,9.2339
2024-10-22,9.1824
2024-10-23,9.2064
2024-10-24,9.1306
2024-10-25,9.1172
2024-10-28,9.1223
2024-10-29,9.1163
2024-10-30,9.0266
2024-10-31,8.9383
2024-11-01,8.9725
2024-11-04,8.9726
2024-11-05,9.0349
2024-11-06,9.0572
2024-11-07,9.0557
2024-11-08,9.1168
2024-11-11,9.0507
2024-11-12,8.8956
2024-11-13,8.8024
2024-11-14,8.7106
2024-11-15,8.7017
2024-11-18,8.7621
2024-11-19,8.8371
2024-11-20,8.8254
2024-11-21,8.7808
2024-11-22,8.8026
2024-11-25,8.8258
2024-11-26,8.808
2024-11-27,8.8087
2024-11-28,8.7488
2024-11-29,8.7486
2024-12-02,8.8206
2024-12-03,8.9188
2024-12-04,8.8972
2024-12-05,8.88
2024-12-06,8.9002
2024-12-09,8.9365
2024-12-10,8.9339
2024-12-11,8.9325
2024-12-12,8.992
2024-12-13,8.9271
2024-12-16,8.9131
2024-12-17,8.8553
2024-12-18,8.8848
2024-12-19,8.7828
2024-12-20,8.6989
2024-12-23,8.8125
2024-12-24,8.842
2024-12-27,8.82
2024-12-30,8.8279
2024-12-31,8.7988
2025-01-02,8.7953
2025-01-03,8.8441
2025-01-06,8.8822
2025-01-07,8.8418
2025-01-08,8.7979
2025-01-09,8.7915
2025-01-10,8.7212
2025-01-13,8.5817
2025-01-14,8.6389
2025-01-15,8.6443
2025-01-16,8.7404
2025-01-17,8.7292
2025-01-20,8.7173
2025-01-21,8.7278
2025-01-22,8.7468
2025-01-23,8.7252
2025-01-24,8.7221
2025-01-27,8.7076
2025-02-05,8.7404
2025-02-06,8.7917
2025-02-07,8.8935
2025-02-10,8.8973
2025-02-11,8.8448
2025-02-12,8.9438
2025-02-13,8.9115
2025-02-14,9.0009
2025-02-17,9.0589
2025-02-18,9.1459
2025-02-19,9.124
2025-02-20,9.0174
2025-02-21,9.1618
2025-02-24,9.0891
2025-02-25,8.9677
2025-02-26,9.0578
2025-02-27,9.073
2025-02-28,8.8109
2025-03-03,8.8648
2025-03-04,8.8046
2025-03-05,8.9022
2025-03-06,9.0412
2025-03-07,8.9809
2025-03-10,8.9129
2025-03-11,8.8339
2025-03-12,8.8942
2025-03-13,8.8412
2025-03-14,8.9176
2025-03-17,8.9964
2025-03-18,9.0941
2025-03-19,9.1316
2025-03-20,9.1641
2025-03-21,9.1013
2025-03-24,9.1286
2025-03-25,9.081
2025-03-26,9.1139
