holding_name_std,holding_name_raw,type,fund_count
Meta(脸书母公司),Meta(脸书母公司),equity,1
Mitsubishi Electric Corp,Mitsubishi Electric Corp,equity,1
Mitsubishi UFJ Financial Group Inc,Mitsubishi UFJ Financial Group Inc,equity,1
Mowi ASA (Packaged Foods & Meat),Mowi ASA (Packaged Foods & Meat),equity,1
NATIONAL AUSTRALIA BANK LTD,NATIONAL AUSTRALIA BANK LTD,equity,1
NETEASE INC,NETEASE INC,equity,1
NEXGEN ENERGY LTD,NEXGEN ENERGY LTD,equity,1
NEXTPOWER INC,NEXTPOWER INC,equity,1
NEXTPOWER INC CL A,NEXTPOWER INC CL A,equity,1
NINETY ONE GSF - EMERGING MARKETS LOCAL CURRENCY DYNAMIC DEBT FUND,NINETY ONE GSF - EMERGING MARKETS LOCAL CURRENCY DYNAMIC DEBT FUND,equity,1
NK LUKOIL,NK LUKOIL,equity,1
NK ROSNEFT,NK ROSNEFT,equity,1
NORDEA BANK ABP (NEW YORK BRANCH),NORDEA BANK ABP (NEW YORK BRANCH),equity,1
NOVABEV GROUP,NOVABEV GROUP,equity,1
NOVATEK,NOVATEK,equity,1
NOVOLIPETSK STEEL,NOVOLIPETSK STEEL,equity,1
NOW Inc,NOW Inc,equity,1
NU HOLDINGS LTD/CAYMAN ISLANDS,NU HOLDINGS LTD/CAYMAN ISLANDS,equity,1
NVIDIA Corp,NVIDIA Corp,equity,1
NatWest Group PLC,NatWest Group PLC,equity,1
Nebius,Nebius,equity,1
Nestle,Nestle,equity,1
Nestle SA,Nestle SA,equity,1
Nestle SA (Packaged Foods & Meat),Nestle SA (Packaged Foods & Meat),equity,1
NetEase Inc,NetEase Inc,equity,1
"Netflix, Inc.","Netflix, Inc.",equity,1
"NextEra Energy, Inc.","NextEra Energy, Inc.",equity,1
Novo Nordisk,Novo Nordisk,equity,1
Novo Nordisk A/S,Novo Nordisk A/S,equity,1
OESTEREICH KONTROLLBANK,OESTEREICH KONTROLLBANK,equity,1
OMERS FINANCE TRUST,OMERS FINANCE TRUST,equity,1
ONEVIEW HEALTHCARE PLC,ONEVIEW HEALTHCARE PLC,equity,1
OPEN TEXT CORP,OPEN TEXT CORP,equity,1
ORACLE CORP,ORACLE CORP,equity,1
ORIX Corp,ORIX Corp,equity,1
OTP BANK NYRT,OTP BANK NYRT,equity,1
OTP银行,OTP银行,equity,1
Option Care Health Inc,Option Care Health Inc,equity,1
Oracle,Oracle,equity,1
Orange SA,Orange SA,equity,1
Orion Group Holdings Inc,Orion Group Holdings Inc,equity,1
Ovintiv Inc,Ovintiv Inc,equity,1
PACIFIC BASIN SHIPPING LTD,PACIFIC BASIN SHIPPING LTD,equity,1
PAN AMERICAN SILVER CORP,PAN AMERICAN SILVER CORP,equity,1
PDD HOLDINGS INC,PDD HOLDINGS INC,equity,1
PETROLEO BRASILEIRO-PETROBRAS,PETROLEO BRASILEIRO-PETROBRAS,equity,1
PING AN INSURANCE GROUP CO OF CHINA LTD,PING AN INSURANCE GROUP CO OF CHINA LTD,equity,1
PPL Corporation,PPL Corporation,equity,1
PRYSMIAN SPA,PRYSMIAN SPA,equity,1
PT T POL,PT T POL,equity,1
PUBLIC STORAGE,PUBLIC STORAGE,equity,1
PUBLIC STORAGE REIT,PUBLIC STORAGE REIT,equity,1
Panasonic Holdings Corp,Panasonic Holdings Corp,equity,1
PetroChina Co Ltd,PetroChina Co Ltd,equity,1
Pfizer Inc,Pfizer Inc,equity,1
Power Grid Corporation of India Ltd.,Power Grid Corporation of India Ltd.,equity,1
Prysmian SpA,Prysmian SpA,equity,1
REGIONAL SAB DE CV,REGIONAL SAB DE CV,equity,1
RELIANCE INDUSTRIES LTD,RELIANCE INDUSTRIES LTD,equity,1
ROLOGIS INC,ROLOGIS INC,equity,1
Repligen Corp,Repligen Corp,equity,1
Resideo Technologies Inc,Resideo Technologies Inc,equity,1
Rio Tinto Ltd.,Rio Tinto Ltd.,equity,1
Rio Tinto PLC,Rio Tinto PLC,equity,1
Robinhood Markets,Robinhood Markets,equity,1
Robinhood Markets Inc,Robinhood Markets Inc,equity,1
Roche,Roche,equity,1
Rolls-Royce,Rolls-Royce,equity,1
SAMSUNG C&T CORP,SAMSUNG C&T CORP,equity,1
SAMSUNG ELECTRO-MECHANICS CO LTD,SAMSUNG ELECTRO-MECHANICS CO LTD,equity,1
SAMSUNG ELECTRONICS GDS REPRESENT,SAMSUNG ELECTRONICS GDS REPRESENT,equity,1
SANDISK CORP,SANDISK CORP,equity,1
SANEAMENTO BASICO DE SP (CIA),SANEAMENTO BASICO DE SP (CIA),equity,1
SBERBANK ROSSI,SBERBANK ROSSI,equity,1
SEZZLE INC,SEZZLE INC,equity,1
SHOALS TECHNOLOGIES GROUP A,SHOALS TECHNOLOGIES GROUP A,equity,1
SIEMENS AG,SIEMENS AG,equity,1
SIEMENS ENERGY AG,SIEMENS ENERGY AG,equity,1
SINGAPORE TELECOMMUNICATIONS LTD,SINGAPORE TELECOMMUNICATIONS LTD,equity,1
"SK Hynix, Inc.","SK Hynix, Inc.",equity,1
SK INNOVATION CO LTD,SK INNOVATION CO LTD,equity,1
SK SQUARE LTD,SK SQUARE LTD,equity,1
SLB Ltd,SLB Ltd,equity,1
SOUTHERN COPPER CORP,SOUTHERN COPPER CORP,equity,1
SSE plc,SSE plc,equity,1
STANDARD CHARTERED BANK (NEW YORK,STANDARD CHARTERED BANK (NEW YORK,equity,1
SUNCOR ENERGY INC (CANADA),SUNCOR ENERGY INC (CANADA),equity,1
SUNRUN INC,SUNRUN INC,equity,1
Sanofi,Sanofi,equity,1
Sea ADR,Sea ADR,equity,1
Select Water Solutions Inc,Select Water Solutions Inc,equity,1
Severn Trent Plc,Severn Trent Plc,equity,1
Shopify 'A',Shopify 'A',equity,1
Siemens AG,Siemens AG,equity,1
Simpson Manufacturing Co Inc,Simpson Manufacturing Co Inc,equity,1
Snowflake,Snowflake,equity,1
Societe Generale SA,Societe Generale SA,equity,1
Sony Group Corp,Sony Group Corp,equity,1
Standard Chartered,Standard Chartered,equity,1
Stanley Black & Decker Inc,Stanley Black & Decker Inc,equity,1
Stryker Corp.,Stryker Corp.,equity,1
Sumitomo Mitsui Trust Group Inc,Sumitomo Mitsui Trust Group Inc,equity,1
Sumitomo Realty & Development Co Ltd,Sumitomo Realty & Development Co Ltd,equity,1
Suntec Real Estate Investment Trust,Suntec Real Estate Investment Trust,equity,1
Suzuki Motor Corp,Suzuki Motor Corp,equity,1
Swatch Group AG/The,Swatch Group AG/The,equity,1
Swiss Re AG,Swiss Re AG,equity,1
T-MOBILE USA INC,T-MOBILE USA INC,equity,1
TATNEFT,TATNEFT,equity,1
TATNEFT PREF,TATNEFT PREF,equity,1
TAWAN SEMICONDUCTOR-SP ADR,TAWAN SEMICONDUCTOR-SP ADR,equity,1
TC ENERGY CORP,TC ENERGY CORP,equity,1
TC Energy Corp.,TC Energy Corp.,equity,1
TE Connectivity PLC,TE Connectivity PLC,equity,1
TELEDYNE TECHNOLOGIES INC,TELEDYNE TECHNOLOGIES INC,equity,1
TELKOM INDONESIA PERSERO TBK PT,TELKOM INDONESIA PERSERO TBK PT,equity,1
TERNA RETE ELETTRICA NAZIONALE,TERNA RETE ELETTRICA NAZIONALE,equity,1
TETRA TECHNOLOGIES INC COMMON,TETRA TECHNOLOGIES INC COMMON,equity,1
TEXAS INSTRUMENTS INC,TEXAS INSTRUMENTS INC,equity,1
TJX Cos Inc/The,TJX Cos Inc/The,equity,1
TORONTO-DOMINION BANK (NEW YORK BR,TORONTO-DOMINION BANK (NEW YORK BR,equity,1
TOTALENERGIES SE,TOTALENERGIES SE,equity,1
TOYO TANSO CO LTD,TOYO TANSO CO LTD,equity,1
TRI-PARTY BOFA SECURITIES INC.,TRI-PARTY BOFA SECURITIES INC.,equity,1
TRI-PARTY TD SECURITIES (USA) LLC,TRI-PARTY TD SECURITIES (USA) LLC,equity,1
Taiwan Semiconductor Manufacturing Company,Taiwan Semiconductor Manufacturing Company,equity,1
Take-Two Interactive Software,Take-Two Interactive Software,equity,1
Takeaway.com NV (Internet Retail),Takeaway.com NV (Internet Retail),equity,1
Teletra Group,Teletra Group,equity,1
Telstra Group,Telstra Group,equity,1
Tencent Holdings Ltd,Tencent Holdings Ltd,equity,1
Teva Pharmaceutical Industries Ltd,Teva Pharmaceutical Industries Ltd,equity,1
Texas Instruments,Texas Instruments,equity,1
Thermo Fisher Scientific Inc,Thermo Fisher Scientific Inc,equity,1
Tokio Marine Holdings Inc,Tokio Marine Holdings Inc,equity,1
TotalEnergies,TotalEnergies,equity,1
Trip.com Group,Trip.com Group,equity,1
Trip.com Group Ltd,Trip.com Group Ltd,equity,1
Trip.com Group Ltd.,Trip.com Group Ltd.,equity,1
UNIMICRON TECHNOLOGY CORP,UNIMICRON TECHNOLOGY CORP,equity,1
UNION PACIFIC CORP,UNION PACIFIC CORP,equity,1
UNITIE GROUP PLC,UNITIE GROUP PLC,equity,1
UPL LTD,UPL LTD,equity,1
Uni-President Enterprises Corp.,Uni-President Enterprises Corp.,equity,1
Union Pacific Corp,Union Pacific Corp,equity,1
UnitedHealth Group Inc,UnitedHealth Group Inc,equity,1
"UnitedHealth Group, Inc.","UnitedHealth Group, Inc.",equity,1
VALE SA,VALE SA,equity,1
VERTIV HOLDINGS CO A,VERTIV HOLDINGS CO A,equity,1
VINCI SA,VINCI SA,equity,1
VONOVA SE,VONOVA SE,equity,1
Valmont Industries Inc,Valmont Industries Inc,equity,1
Veritiv Holdings Co,Veritiv Holdings Co,equity,1
Verizon Communications Inc,Verizon Communications Inc,equity,1
Vertex Pharmaceuticals Inc,Vertex Pharmaceuticals Inc,equity,1
"Visa, Inc.","Visa, Inc.",equity,1
WELLS FARGO & CO NEW,WELLS FARGO & CO NEW,equity,1
WELLTOWER INC,WELLTOWER INC,equity,1
WEX INC,WEX INC,equity,1
WIWYNN CORPORATION CORP,WIWYNN CORPORATION CORP,equity,1
WONIK MATERIALS CO LTD,WONIK MATERIALS CO LTD,equity,1
Walt Disney,Walt Disney,equity,1
Waste Management Inc (Environmental & Facilities Services),Waste Management Inc (Environmental & Facilities Services),equity,1
Wells Fargo,Wells Fargo,equity,1
West Pharmaceutical Services Inc,West Pharmaceutical Services Inc,equity,1
XIAOMI CORP,XIAOMI CORP,equity,1
Xiaomi Corporation,Xiaomi Corporation,equity,1
ZUIN MINING GROUP CO LTD,ZUIN MINING GROUP CO LTD,equity,1
Zijin Mining Group,Zijin Mining Group,equity,1
Zijin Mining Group Co Ltd,Zijin Mining Group Co Ltd,equity,1
万事达,万事达,equity,1
万喜,万喜,equity,1
三一重工,三一重工,equity,1
三星电子,三星电子,equity,1
中国宏桥集团,中国宏桥集团,equity,1
中国平安保险,中国平安保险,equity,1
乐购,乐购,equity,1
伊克赛尔服务,伊克赛尔服务,equity,1
伊比德罗拉,伊比德罗拉,equity,1
优步,优步,equity,1
伟尔集团,伟尔集团,equity,1
借贷俱乐部,借贷俱乐部,equity,1
公民金融集团,公民金融集团,equity,1
凯克萨银行,凯克萨银行,equity,1
力拓集团,力拓集团,equity,1
加拿大自然资源,加拿大自然资源,equity,1
北方之星资源,北方之星资源,equity,1
北方银行,北方银行,equity,1
博格华纳公司,博格华纳公司,equity,1
印地纺,印地纺,equity,1
历峰集团,历峰集团,equity,1
吉利德科学,吉利德科学,equity,1
嘉能可,嘉能可,equity,1
埃克森美孚,埃克森美孚,equity,1
埃尔拉多黄金,埃尔拉多黄金,equity,1
壳牌,壳牌,equity,1
大豆,大豆,equity,1
天然气,天然气,equity,1
奋进矿业,奋进矿业,equity,1
奥驰亚,奥驰亚,equity,1
威廉姆斯公司,威廉姆斯公司,equity,1
威瑞森通信,威瑞森通信,equity,1
安格鲁阿散蒂黄金有限公司,安格鲁阿散蒂黄金有限公司,equity,1
巴克莱银行,巴克莱银行,equity,1
巴西石油,巴西石油,equity,1
布伦特原油,布伦特原油,equity,1
平安保险,平安保险,equity,1
康菲石油,康菲石油,equity,1
开市客,开市客,equity,1
强生公司,强生公司,equity,1
德意志银行,德意志银行,equity,1
恩智浦半导体,恩智浦半导体,equity,1
意大利联合圣保罗银行,意大利联合圣保罗银行,equity,1
携程,携程,equity,1
新纪元能源,新纪元能源,equity,1
易昆尼克斯,易昆尼克斯,equity,1
普洛斯公司,普洛斯公司,equity,1
普睿司曼,普睿司曼,equity,1
智利矿业化工,智利矿业化工,equity,1
林德集团,林德集团,equity,1
柯蒂斯·莱特,柯蒂斯·莱特,equity,1
沃尔玛,沃尔玛,equity,1
沃尔玛墨西哥与中美洲,沃尔玛墨西哥与中美洲,equity,1
泛林集团,泛林集团,equity,1
泛美白银公司,泛美白银公司,equity,1
波多黎各大众银行,波多黎各大众银行,equity,1
泰科电子,泰科电子,equity,1
洛阳钼业,洛阳钼业,equity,1
活畜,活畜,equity,1
爱德万测试,爱德万测试,equity,1
玉米,玉米,equity,1
环汇,环汇,equity,1
瑞银集团,瑞银集团,equity,1
百度,百度,equity,1
皇冠控股,皇冠控股,equity,1
第一太阳能,第一太阳能,equity,1
第一资本,第一资本,equity,1
纽蒙特黄金公司,纽蒙特黄金公司,equity,1
维斯塔斯风力系统公司,维斯塔斯风力系统公司,equity,1
维萨卡,维萨卡,equity,1
网易,网易,equity,1
美光科技,美光科技,equity,1
美国洲际交易所,美国洲际交易所,equity,1
美国金德摩根公司,美国金德摩根公司,equity,1
美国银行,美国银行,equity,1
美敦力,美敦力,equity,1
联合健康,联合健康,equity,1
艾伯维,艾伯维,equity,1
芝加哥商品交易所,芝加哥商品交易所,equity,1
花旗集团,花旗集团,equity,1
苏格兰南方能源公司,苏格兰南方能源公司,equity,1
英国国家电力供应公司,英国国家电力供应公司,equity,1
西得克萨斯中间基原油,西得克萨斯中间基原油,equity,1
西蒙地产集团,西蒙地产集团,equity,1
诺华,诺华,equity,1
费利浦·麦克莫兰铜金公司,费利浦·麦克莫兰铜金公司,equity,1
达能,达能,equity,1
通用汽车,通用汽车,equity,1
道达尔,道达尔,equity,1
野村房地产,野村房地产,equity,1
金田有限公司,金田有限公司,equity,1
金罗斯黄金公司,金罗斯黄金公司,equity,1
铁山公司,铁山公司,equity,1
铜,铜,equity,1
铝,铝,equity,1
银,银,equity,1
阿拉莫斯黄金,阿拉莫斯黄金,equity,1
阿里巴巴集团,阿里巴巴集团,equity,1
雪佛龙,雪佛龙,equity,1
马恒达公司,马恒达公司,equity,1
黄金,黄金,equity,1
默克,默克,equity,1
